
INTEGERS

1

  Quick Sort      | reverse_sorted_int   | size=  50,000 | 19648.9354 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=  50,000 | 44612.3570 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=  50,000 |  3572.7407 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=  50,000 |   102.3035 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=  50,000 | 27444.9400 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=  50,000 |    86.3660 ms  (avg of 10 runs)
  Quick Sort      | almost_sorted_int    | size=  50,000 |   114.1012 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=  50,000 | 64296.7760 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=  50,000 | 22132.3370 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=  50,000 |   100.4193 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=  50,000 | 27439.6438 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=  50,000 |   172.0835 ms  (avg of 10 runs)
  Quick Sort      | mixed_int            | size=  50,000 |    94.5364 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=  50,000 | 76082.7796 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=  50,000 | 19643.5266 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=  50,000 |    76.7581 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=  50,000 | 27816.0901 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=  50,000 |    83.6059 ms  (avg of 10 runs)
  Quick Sort      | flat_int             | size=  50,000 | 15482.1158 ms  (avg of 10 runs)

