
INTEGERS

1

  Insertion Sort  | reverse_sorted_int   | size=      50 |     0.0482 ms  (avg of 10000 runs)
  Heap Sort       | reverse_sorted_int   | size=      50 |     0.0266 ms  (avg of 10000 runs)
  Selection Sort  | reverse_sorted_int   | size=      50 |     0.0275 ms  (avg of 10000 runs)
  Merge Sort      | reverse_sorted_int   | size=      50 |     0.0380 ms  (avg of 10000 runs)
  Quick Sort      | reverse_sorted_int   | size=      50 |     0.0417 ms  (avg of 10000 runs)
  Bubble Sort     | almost_sorted_int    | size=      50 |     0.0326 ms  (avg of 10000 runs)
  Insertion Sort  | almost_sorted_int    | size=      50 |     0.0066 ms  (avg of 10000 runs)
  Heap Sort       | almost_sorted_int    | size=      50 |     0.0328 ms  (avg of 10000 runs)
  Selection Sort  | almost_sorted_int    | size=      50 |     0.0255 ms  (avg of 10000 runs)
  Merge Sort      | almost_sorted_int    | size=      50 |     0.0394 ms  (avg of 10000 runs)
  Quick Sort      | almost_sorted_int    | size=      50 |     0.0392 ms  (avg of 10000 runs)
  Bubble Sort     | mixed_int            | size=      50 |     0.0476 ms  (avg of 10000 runs)
  Insertion Sort  | mixed_int            | size=      50 |     0.0240 ms  (avg of 10000 runs)
  Heap Sort       | mixed_int            | size=      50 |     0.0309 ms  (avg of 10000 runs)
  Selection Sort  | mixed_int            | size=      50 |     0.0270 ms  (avg of 10000 runs)
  Merge Sort      | mixed_int            | size=      50 |     0.0400 ms  (avg of 10000 runs)
  Quick Sort      | mixed_int            | size=      50 |     0.0137 ms  (avg of 10000 runs)
  Bubble Sort     | flat_int             | size=      50 |     0.0333 ms  (avg of 10000 runs)
  Insertion Sort  | flat_int             | size=      50 |     0.0158 ms  (avg of 10000 runs)
  Heap Sort       | flat_int             | size=      50 |     0.0225 ms  (avg of 10000 runs)
  Selection Sort  | flat_int             | size=      50 |     0.0290 ms  (avg of 10000 runs)
  Merge Sort      | flat_int             | size=      50 |     0.0400 ms  (avg of 10000 runs)
  Quick Sort      | flat_int             | size=      50 |     0.0269 ms  (avg of 10000 runs)
  Bubble Sort     | random_int           | size=     100 |     0.2039 ms  (avg of 10000 runs)
  Insertion Sort  | random_int           | size=     100 |     0.1113 ms  (avg of 10000 runs)
  Heap Sort       | random_int           | size=     100 |     0.0726 ms  (avg of 10000 runs)
  Selection Sort  | random_int           | size=     100 |     0.0968 ms  (avg of 10000 runs)
  Merge Sort      | random_int           | size=     100 |     0.0895 ms  (avg of 10000 runs)
  Quick Sort      | random_int           | size=     100 |     0.0366 ms  (avg of 10000 runs)
  Bubble Sort     | sorted_int           | size=     100 |     0.0024 ms  (avg of 10000 runs)
  Insertion Sort  | sorted_int           | size=     100 |     0.0044 ms  (avg of 10000 runs)
  Heap Sort       | sorted_int           | size=     100 |     0.0775 ms  (avg of 10000 runs)
  Selection Sort  | sorted_int           | size=     100 |     0.0937 ms  (avg of 10000 runs)
  Merge Sort      | sorted_int           | size=     100 |     0.0826 ms  (avg of 10000 runs)
  Quick Sort      | sorted_int           | size=     100 |     0.2037 ms  (avg of 10000 runs)
  Bubble Sort     | reverse_sorted_int   | size=     100 |     0.2461 ms  (avg of 10000 runs)
  Insertion Sort  | reverse_sorted_int   | size=     100 |     0.1888 ms  (avg of 10000 runs)
